state,year,Max of latitude,Max of longitude,Sum of screening,Sum of screening_rate (per 1000)
Johor,2020,1.59889,103.680107,21015,5241.040476
Johor,2021,1.59889,103.680107,8476,2108.457711
Johor,2022,1.59889,103.680107,38723,9612.739865
Johor,2023,1.59889,103.680107,39773,9683.726139
Johor,2024,1.59889,103.680107,32254,7708.154096
Kedah,2020,6.137244,100.346815,37389,17541.99118
Kedah,2021,6.137244,100.346815,13078,6077.984849
Kedah,2022,6.137244,100.346815,26761,12371.59632
Kedah,2023,6.137244,100.346815,37212,16997.21372
Kedah,2024,6.137244,100.346815,35869,16178.34108
Kelantan,2020,6.147431,102.249236,26249,14643.79358
Kelantan,2021,6.147431,102.249236,12453,6871.378911
Kelantan,2022,6.147431,102.249236,25075,13697.69474
Kelantan,2023,6.147431,102.249236,38086,20478.54608
Kelantan,2024,6.147431,102.249236,35587,18850.04502
Melaka,2020,2.237283,102.274261,8663,8676.883012
Melaka,2021,2.237283,102.274261,4198,4179.193629
Melaka,2022,2.237283,102.274261,7818,7751.338489
Melaka,2023,2.237283,102.274261,10137,9858.018089
Melaka,2024,2.237283,102.274261,8763,8372.026369
Negeri Sembilan,2020,2.723381,101.968497,5404,4503.333334
Negeri Sembilan,2021,2.723381,101.968497,2470,2051.154293
Negeri Sembilan,2022,2.723381,101.968497,10276,8507.326766
Negeri Sembilan,2023,2.723381,101.968497,20793,16975.26329
Negeri Sembilan,2024,2.723381,101.968497,27563,22237.19242
Pahang,2020,3.94836,102.366632,15047,9455.790863
Pahang,2021,3.94836,102.366632,6755,4217.920699
Pahang,2022,3.94836,102.366632,6555,4060.583535
Pahang,2023,3.94836,102.366632,9045,5504.503408
Pahang,2024,3.94836,102.366632,13708,8219.703784
Perak,2020,4.216388889,100.6986111,29141,11675.08013
Perak,2021,4.216388889,100.6986111,14415,5729.787741
Perak,2022,4.216388889,100.6986111,31808,12650.33408
Perak,2023,4.216388889,100.6986111,39454,15525.73587
Perak,2024,4.216388889,100.6986111,37985,14783.60707
Perlis,2020,6.39999,100.138527,2589,9087.399087
Perlis,2021,6.39999,100.138527,1296,4506.258693
Perlis,2022,6.39999,100.138527,1622,5596.963423
Perlis,2023,6.39999,100.138527,3996,13633.57216
Perlis,2024,6.39999,100.138527,4293,14464.28571
Pulau Pinang,2020,5.414821,100.331087,9622,5528.614111
Pulau Pinang,2021,5.414821,100.331087,3111,1787.931035
Pulau Pinang,2022,5.414821,100.331087,11733,6739.617439
Pulau Pinang,2023,5.414821,100.331087,13925,7855.692204
Pulau Pinang,2024,5.414821,100.331087,13293,7382.949181
Sabah,2020,5.89372,116.04327,16625,4862.817362
Sabah,2021,5.89372,116.04327,5658,1657.973393
Sabah,2022,5.89372,116.04327,28959,8480.189757
Sabah,2023,5.89372,116.04327,25409,7064.531376
Sabah,2024,5.89372,116.04327,20973,5604.756815
Sarawak,2020,3.177084,113.041091,25606,10435.66858
Sarawak,2021,3.177084,113.041091,11332,4596.041531
Sarawak,2022,3.177084,113.041091,40175,16242.16697
Sarawak,2023,3.177084,113.041091,37483,14979.41894
Sarawak,2024,3.177084,113.041091,30771,12222.84012
Selangor,2020,3.321308,101.256242,10114,1446.013954
Selangor,2021,3.321308,101.256242,8880,1265.913011
Selangor,2022,3.321308,101.256242,26599,3772.747259
Selangor,2023,3.321308,101.256242,39695,5505.776939
Selangor,2024,3.321308,101.256242,42254,5738.927296
Terengganu,2020,5.308094,103.120392,10009,8708.021576
Terengganu,2021,5.308094,103.120392,4680,3997.608268
Terengganu,2022,5.308094,103.120392,11094,9349.401651
Terengganu,2023,5.308094,103.120392,15910,13148.76033
Terengganu,2024,5.308094,103.120392,22724,18452.29395
W.P. Kuala Lumpur,2020,3.139003,101.686855,4200,2118.964734
W.P. Kuala Lumpur,2021,3.139003,101.686855,2695,1372.199593
W.P. Kuala Lumpur,2022,3.139003,101.686855,6706,3419.335101
W.P. Kuala Lumpur,2023,3.139003,101.686855,9014,4494.191554
W.P. Kuala Lumpur,2024,3.139003,101.686855,8266,3998.065296
W.P. Labuan,2020,5.298107,115.232106,81,851.7350158
W.P. Labuan,2021,5.298107,115.232106,18,187.5
W.P. Labuan,2022,5.298107,115.232106,166,1713.106295
W.P. Labuan,2023,5.298107,115.232106,381,3848.484848
W.P. Labuan,2024,5.298107,115.232106,607,6021.825397
W.P. Putrajaya,2020,2.9196,101.696,107,979.8534799
W.P. Putrajaya,2021,2.9196,101.696,48,416.6666667
W.P. Putrajaya,2022,2.9196,101.696,132,1128.205128
W.P. Putrajaya,2023,2.9196,101.696,353,2971.380471
W.P. Putrajaya,2024,2.9196,101.696,374,3108.894431
